seq,ts_emit,w,bit
828,1789388429413892896,0.475,1
829,1789388429414468321,0.0,0
830,1789388429415042652,0.475,1
831,1789388429415692394,0.475,1
832,1789388429416277250,0.475,1
833,1789388429416910327,0.475,1
834,1789388429417560307,0.475,1
835,1789388429418142906,0.475,1
836,1789388429418733293,0.475,1
837,1789388429419326829,0.475,1
838,1789388429419952840,0.475,1
839,1789388429420649099,0.475,1
840,1789388429421299420,0.475,1
841,1789388429421917690,0.475,1
842,1789388429422574851,0.475,1
843,1789388429423219707,0.0,0
844,1789388429423799307,0.0,0
845,1789388429424388959,0.475,1
846,1789388429424987231,0.475,1
847,1789388429425590140,0.475,1
848,1789388429426226730,0.475,1
849,1789388429426816861,0.0,0
850,1789388429427463674,0.475,1
851,1789388429428112014,0.0,0
852,1789388429428718990,0.475,1
853,1789388429429361845,0.475,1
854,1789388429429954566,0.475,1
855,1789388429430641768,0.475,1
856,1789388429431282054,0.475,1
857,1789388429431866636,0.475,1
858,1789388429432469269,0.475,1
859,1789388429433130403,0.0,0
860,1789388429433775106,0.0,0
861,1789388429434379846,0.475,1
862,1789388429435020332,0.475,1
863,1789388429435676250,0.475,1
864,1789388429436361993,0.475,1
865,1789388429436942387,0.475,1
866,1789388429437585456,0.475,1
867,1789388429438221017,0.475,1
