count_index,s2r_ns,r2a_ns,total_ns,werner
514,125336,963,126299,0.905760
515,139153,948,140101,0.896076
516,138280,2579,140859,0.896684
517,156889,1282,158171,0.883839
518,143606,993,144599,0.892983
519,150225,1262,151487,0.888411
520,117129,956,118085,0.911576
521,112216,985,113201,0.915081
522,108339,877,109216,0.917859
523,109249,920,110169,0.917206
524,117422,851,118273,0.911368
525,115635,872,116507,0.912640
526,111162,789,111951,0.915835
527,107345,849,108194,0.918573
528,130547,1159,131706,0.902092
529,92981,975,93956,0.928969
530,111533,1151,112684,0.915569
531,118224,978,119202,0.910798
532,112063,910,112973,0.915190
533,108080,839,108919,0.918045
534,132767,1052,133819,0.900535
535,107344,876,108220,0.918573
536,131927,970,132897,0.901124
537,118462,1824,120286,0.910628
538,116420,949,117369,0.912081
539,111677,996,112673,0.915466
540,109055,904,109959,0.917345
541,122045,863,122908,0.908087
542,106179,758,106937,0.919411
543,110411,819,111230,0.916373
544,116645,747,117392,0.911921
545,116026,816,116842,0.912362
546,109654,728,110382,0.916915
547,103260,833,104093,0.921514
548,107546,766,108312,0.918428
549,104928,727,105655,0.920311
550,123720,1071,124791,0.906902
551,122892,969,123861,0.907487
552,103725,1085,104810,0.921179
553,105874,950,106824,0.919630
554,110927,837,111764,0.916003
