count_idx,delay_ns,loop_gap_ns,recv_block_ns
1072,82644,1979,987
1073,77909,1969,989
1074,73794,1975,989
1075,70451,3016,1169
1076,68674,2537,1535
1077,66770,3274,1671
1078,66957,3444,2757
1079,55519,4382,1642
1080,50029,2644,1174
1081,47504,2126,1004
1082,44577,1987,976
1083,43050,1948,1542
1084,30213,3821,1089
1085,24970,2102,1028
1086,22575,2009,1242
1087,19447,2221,1176
1088,14682,2140,1027
1089,16773,1998,7701
1090,8399,8704,5781
1091,8704,6833,8434
1092,7703,11538,1604
1093,6068,2589,2452
1094,4636,3471,2381
1095,30973,3397,39243
1096,11015,44375,2851
1097,6840,4360,1337
1098,6826,2375,2912
1099,4695,3972,2280
1100,32179,3292,32589
1101,18511,42007,2682
1102,14595,4708,1507
1103,11822,2651,1287
1104,9933,2306,1118
1105,7767,2080,1257
1106,10372,2267,6004
1107,8493,7060,1253
1108,7034,2292,1581
1109,7896,2560,3059
1110,6637,5329,2113
1111,5749,3151,2175
1112,4339,3170,2372
1113,8835,3366,8099
1114,7140,9787,1543
1115,6091,2505,2319
1116,4698,3345,2462
1117,23286,3473,23115
1118,14661,28646,2880
1119,13635,5444,2007
1120,12115,3968,1607
1121,10101,2653,1118
1122,8036,2075,1345
1123,6669,2316,2206
1124,5796,3335,2552
1125,10502,3549,9165
1126,7522,10812,1521
1127,6092,3710,2580
1128,5006,3577,2234
1129,19707,3239,23304
1130,10416,26435,3756
1131,9048,6145,3077
1132,7136,4378,2212
1133,5903,3207,2271
1134,4210,3272,2256
1135,38382,37393,3074
1136,38144,6026,2072
1137,37233,3630,1662
1138,35517,2726,1116
1139,34305,2096,1880
1140,32624,3244,1111
1141,30620,2093,1162
1142,28587,2116,1151
1143,27977,2092,1314
1144,26050,3503,1222
1145,23940,2214,1251
1146,19875,2219,1080
1147,16839,2058,1194
1148,14765,2452,1164
1149,12547,2212,1239
1150,10235,2224,1111
1151,8182,2103,1269
1152,7026,3401,1292
1153,10224,2296,6506
1154,20331,7542,22201
1155,8957,25402,2464
1156,6808,4016,2652
1157,5948,3716,2222
1158,4081,3248,2223
1159,7399,3215,6754
1160,9245,8380,2513
1161,7311,6371,2275
1162,5723,3286,2256
1163,9693,3287,7755
1164,7118,9430,1540
1165,6096,2521,2274
1166,4976,3271,2283
1167,8544,3281,7789
1168,7724,9931,1911
1169,8505,5479,2123
1170,8307,3278,3308
1171,6801,4313,1781
1172,5860,3367,2252
1173,3959,3247,2202
1174,19781,3177,20514
1175,11341,23677,4298
1176,8220,6438,1781
1177,8931,3129,2307
1178,7394,4822,2440
1179,7445,3433,6767
1180,6222,8386,2507
1181,4488,3487,2439
1182,11194,3444,9760
1183,7090,11442,1462
1184,6088,2441,2330
1185,4800,3344,2220
1186,10290,4482,8603
1187,6750,10206,2141
1188,5362,3167,2561
1189,8019,3590,6606
1190,6532,8168,2000
1191,5349,3012,2472
1192,9747,3489,8161
1193,6745,9753,2681
1194,5983,3665,2240
1195,9668,4367,7778
1196,7245,9868,1396
1197,6278,2342,2465
